,best_match_score,ID,client,Record,ipAddress,hostname,alias_list,address_list,content-length,url,User-Agent,HTTPMethods,HTTPVersion,datetime
235688,0.05437255042114854,3174,5.119.54.198,511082.0,5.119.188.54,5.119.54.198,[Errno 1] Unknown host,,133.0,https://www-zanbil-ir.cdn.ampproject.org/v/s/www.zanbil.ir/m/browse/sandwich-maker/,Mozilla/5.0 ,GET ,HTTP/1.1,[22/Jan/2019:11:10:27+0330]
177347,0.054304867805917555,2387,5.216.187.7,777925.0,5.216.82.7,5.216.187.7,[Errno 1] Unknown host,,133.0,https://www-zanbil-ir.cdn.ampproject.org/v/s/www.zanbil.ir/m/product/26375/,Mozilla/5.0 ,GET ,HTTP/1.1,[22/Jan/2019:12:47:49+0330]
277607,0.054302092616604306,3759,40.77.253.39,993619.0,40.77.195.39,msnbot-40-77-253-39.search.msn.com,['40.77.253.39'],,11.0,-,Mozilla/5.0 ,GET ,HTTP/1.1,[22/Jan/2019:14:08:58+0330]
224430,0.05427411318002353,3030,188.208.212.108,898360.0,188.208.212.13,188.208.212.108,[Errno 1] Unknown host,,19199.0,https://www.zanbil.ir/m/filter/p6,Mozilla/5.0 ,GET ,HTTP/1.1,[22/Jan/2019:13:33:35+0330]
106367,0.05421614405287594,1499,5.120.72.112,662954.0,5.112.151.72,5.120.72.112,[Errno 1] Unknown host,,4610.0,-,Dalvik/2.1.0 ,GET ,HTTP/1.1,[22/Jan/2019:12:05:55+0330]
80540,0.05419192414858224,1134,5.106.76.154,57611.0,5.114.106.76,5.106.76.154,[Errno 1] Unknown host,,3975.0,-,Dalvik/2.1.0 ,GET ,HTTP/1.1,[22/Jan/2019:07:15:10+0330]
319928,0.054167998477022215,4326,37.27.6.210,230026.0,37.27.54.210,37.27.6.210,[Errno 1] Unknown host,,3819.0,https://torob.com/search/?query=LG,Mozilla/5.0 ,GET ,HTTP/1.1,[22/Jan/2019:09:17:17+0330]
212802,0.054136852770546404,2880,5.210.77.102,652665.0,5.210.102.181,5.210.77.102,[Errno 1] Unknown host,,0.0,https://www.google.com/,Mozilla/5.0 ,GET ,HTTP/1.1,[22/Jan/2019:12:01:56+0330]
236335,0.05411630492511918,3193,5.202.64.111,70038.0,5.52.64.111,5.202.64.111,[Errno 1] Unknown host,,133.0,https://www-zanbil-ir.cdn.ampproject.org/v/s/www.zanbil.ir/m/browse/steam-cooker/,Mozilla/5.0 ,GET ,HTTP/1.1,[22/Jan/2019:07:32:27+0330]
72099,0.05409865108460662,1015,213.217.50.154,47301.0,213.217.50.233,213.217.50.154.parsonline.net,['213.217.50.154'],,32915.0,https://www.google.com/,Mozilla/5.0 ,GET ,HTTP/1.1,[22/Jan/2019:06:53:20+0330]
