,best_match_score,ID,client,Record,ipAddress,hostname,alias_list,address_list,content-length,url,User-Agent,HTTPMethods,HTTPVersion,datetime
60699,0.101466694,855,45.56.174.172,833552,45.56.172.68,45.56.174.172,[Errno 1] Unknown host,,3997,-,Dalvik/2.1.0 ,GET ,HTTP/1.1,[22/Jan/2019:13:08:47+0330]
235101,0.101414641,3170,83.120.57.161,33622,83.120.2.57,83.120.57.161,[Errno 1] Unknown host,,3997,-,Dalvik/2.1.0 ,GET ,HTTP/1.1,[22/Jan/2019:06:10:56+0330]
427135,0.101342668,5792,204.18.68.46,18543,204.18.68.10,204.18.68.46,[Errno 1] Unknown host,,0,https://www.zanbil.ir/login/auth?forwardUri=,Mozilla/5.0 ,GET ,HTTP/1.1,[22/Jan/2019:05:11:32+0330]
45648,0.101239184,680,104.248.138.199,9260,104.248.138.218,104.248.138.199,[Errno 1] Unknown host,,18432,https://www.google.com/search?q=,Mozilla/5.0 ,GET ,HTTP/1.1,[22/Jan/2019:04:35:18+0330]
241799,0.101081654,3263,5.215.217.158,711785,5.217.25.158,5.215.217.158,[Errno 1] Unknown host,,178,http://www.angabin.ir/incorrect-beliefs.html,Mozilla/5.0 ,GET ,HTTP/1.1,[22/Jan/2019:12:24:37+0330]
430246,0.101077496,5822,37.137.125.132,108067,5.125.37.137,37.137.125.132,[Errno 1] Unknown host,,3975,-,Dalvik/2.1.0 ,GET ,HTTP/1.1,[22/Jan/2019:08:07:20+0330]
99468,0.101012595,1388,89.198.153.75,786877,89.198.153.37,89.198.153.75,[Errno 1] Unknown host,,133,"https://www-zanbil-ir.cdn.ampproject.org/v/s/www.zanbil.ir/m/filter/b2,p5?amp_js_v=0.1&usqp=mq331AQECAEoAQ",Mozilla/5.0 ,GET ,HTTP/1.1,[22/Jan/2019:12:51:25+0330]
304707,0.100863851,4123,109.230.81.122,100910,109.230.81.99,109.230.81.122,[Errno 1] Unknown host,,30755,-,Mozilla/5.0 ,GET ,HTTP/1.1,[22/Jan/2019:08:02:26+0330]
128210,0.100573698,1775,83.122.251.151,974347,83.122.58.251,83.122.251.151,[Errno 1] Unknown host,,32363,https://www.google.com/,Mozilla/5.0 ,GET ,HTTP/1.1,[22/Jan/2019:14:01:13+0330]
418366,0.100473325,5672,80.250.206.74,546384,80.250.206.26,80.250.206.74,[Errno 1] Unknown host,,34888,https://www.google.com/,Mozilla/5.0 ,GET ,HTTP/1.1,[22/Jan/2019:11:23:14+0330]
